,Ticker,Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
1671,ROKU,2019-12-31,1.16670412989457,2.58348,6.77498,14.26178,,,-4.02951,8.27,5.145,,,13.637773882052,,-0.459569767611745,43.86702,-25.84911,-5.30923,3.6,,,22.9863746933576,13.6658722798141,2.44473,-6.19429928520161,-12.710945129613,,-12.710945129613,0.52,0.3859
1672,ROP,2015-12-31,0.385856192325195,2.24689,32.21403,61.81681,658.294085380847,15.1907790485686,34.3954,0.03,0.07,17.5534121424809,27.3013121429356,6.03756587989599,0.848092209514314,4.62898360954678,60.42455,12.20443,19.43021,0.028,27.7014738894743,3.96372351913806,3.6128152433049,5.38245911743401,1.98323,7.49726823042187,13.8461457363496,9.71657318998094,11.7428083307979,0.009,0.08831
1673,ROP,2016-12-31,0.309466363280199,1.22918,43.36861,107.31848,519.546748913412,19.2475460984294,34.16996,0.051,-0.062,18.5525858515107,29.9369826877611,6.3394118667467,0.807524539015707,4.92389587421943,61.54238,9.45296,17.37884,0.026,28.4437649924805,-4.61090072615053,3.21550241698364,4.94973096301378,1.10329,5.37816639755897,11.8805225052517,7.16134912975104,9.59381345931912,0.058,0.02312
1674,ROP,2017-12-31,0.321735714879262,0.86695,36.03343,75.16059,505.586117925443,19.7790240780991,33.75407,0.201,0.137,19.9324808794188,30.0323424553354,6.72802360687674,0.802209759219009,4.3821323414067,62.17719,6.7025,16.41621,0.148,35.4484225451967,2.59429356877116,3.86762450353664,5.81928741385459,0.76597,5.28168025658017,11.9561548221294,9.18897915338946,9.59134408104562,0.216,-0.01886
1675,ROP,2018-12-31,0.351161149665833,1.11221,32.40565,63.85863,529.783599088838,18.875631516715,33.96902,0.134,0.22,18.2282472542135,26.755194945963,6.19195777625212,0.81124368483285,4.9290759342926,63.17422,7.66831,17.92071,0.154,29.4067671313286,1.36195346395382,3.56117675967388,5.35997226074896,0.98046,6.29305781965874,12.7420342767981,8.79071599316772,10.3368948389762,0.127,0.01066
1676,ROP,2019-12-31,0.321766031943978,0.83403,29.13098,55.57686,894.686234817814,11.1771027773064,35.67116,0.086,0.888,21.6391785299519,34.3158079669815,7.71894674251696,0.888228972226936,3.75749676204989,63.85742,8.03001,32.94142,0.073,43.9442791056571,0.237227761337705,3.88492727619691,6.93701516732504,0.75119,10.5994292292196,20.5207075865911,13.9612894280554,18.2270870090073,0.034,-0.02197
1677,ROP,2020-12-31,0.26236005857544,0.71686,39.81927,91.28514,431.22715167831,23.1896344213962,35.31508,,,27.9049265349096,43.1563474395769,9.85464820674314,0.768103655786038,3.2396811207462,64.10233,6.53769,17.18261,,47.9796012403087,-1.02991813698803,4.313959028347,8.2441448499213,0.6357,4.50803038897605,9.51045729707536,6.44352802801758,7.30501701808058,,-0.02881
1678,RP,2015-12-31,0.787762874160883,1.03063,6.41847,12.25295,,,11.75553,0.793,-0.099,32.2822029431523,28.389967610334,3.79494342077179,,3.63763502493991,57.60843,,-1.96747,-1.868,226.928131001718,,5.41862171503601,3.67469489029284,,-1.54990142875758,-2.81365989451065,,-2.81365989451065,0.158,0.01058
1679,RP,2016-12-31,0.80511358684446,1.18732,15.55175,31.85415,,0.0,15.28318,0.576,-2.779,28.0071063481826,44.8605561909681,4.28037524994367,1.0,2.32125346316732,57.35098,8.36226,2.93068,2.483,114.665749340672,0.504628489308511,6.32239138131607,4.11049974653599,1.17889,2.35952834941426,4.68212847029379,4.34152587612414,4.68212847029379,0.213,0.05955
1680,RP,2017-12-31,0.582334334754822,0.92692,42.77379,129.23059,,0.0,14.48008,0.119,0.569,43.7522427930339,46.9643789241087,6.33536111648481,1.0,2.47959622505028,55.57833,1.87422,4.12213,-0.062,77.1965287700833,2.31821819643701,7.34225342541812,5.44028716933721,,2.40046068570828,6.23884832366761,3.55103752282364,6.23884832366761,0.181,-0.01604
1681,RP,2018-12-31,0.481164428098435,1.31177,28.43768,56.11896,,0.0,19.11901,0.711,0.13,29.364268991855,25.1782014098332,5.61415860069237,1.0,4.39535985536887,53.98514,2.03845,3.99377,1.201,107.241410005341,9.75218499466337,4.24543345003357,5.07300787827207,,1.92165832057301,4.43798609367122,4.80624124394909,4.43798609367122,0.296,0.06127
1682,RP,2019-12-31,0.389982615010291,1.20974,40.60843,102.81944,,0.0,20.98618,0.247,0.594,29.4221999052428,22.982903868755,6.17459584384133,1.0,5.12975692044155,52.79233,2.23507,5.89069,0.399,80.5750434730467,1.49790295239438,4.34170467845941,5.23729274108018,,2.29726556410444,5.20655649723831,4.85097359256596,5.20655649723831,0.136,0.0371
1683,RPAY,2017-12-31,,0.16486,88.81075,793.71515,,,,,,,,,,,,,,,,,,,,,,,,,-0.74169
1684,RPAY,2018-12-31,,0.74648,0.0,0.0,,,,,173.222,,,,,,,,,217.45,50.3791155666378,,1.25954999713739,,,1.15555473061997,-0.797946937700226,,-0.797946937700226,,-0.00031
1685,RPAY,2019-12-31,0.200095191344109,0.84455,27.29299,46.34869,,,-17.42685,,6.939,,215.13749059743,12.9055279730091,,2.55335028636337,,-5.31693,-52.86942,40.876,,,2.16165330327184,5.00425835159621,,-10.578917092343,-15.7657721007139,,-15.7657721007139,,-0.01033
1686,RPD,2015-12-31,0.696167570001921,1.18225,0.0,0.0,,,-37.24011,0.646,0.796,,,4.91071533892478,,-1.61437916855516,73.54107,,-45.10884,0.598,,,9.2325341567151,3.38674576479742,,-31.4033137339502,,,,0.438,0.09151
1687,RPD,2016-12-31,0.664481792244188,0.8944,,,,,-26.88313,0.028,-0.703,,96.5195181422068,2.82808067474609,,0.91893543909651,74.76768,-232.45972,-31.12356,0.053,,,12.3195594517442,3.18853837668401,,-20.6810392855334,-88.9994823499496,,-88.9994823499496,0.424,-0.0632
1688,RPD,2017-12-31,0.761945931188251,0.91447,,,,,-20.48671,-0.027,-0.105,,99.7372701917808,3.62338047377327,,0.910789938381779,71.67811,-560.85057,-22.72818,-0.005,,,34.0349469229927,3.98876304867125,,-17.3176424193129,-137.994591409708,,-137.994591409708,0.276,-0.05704
